stage,파일수,평균BER,평균NC,DSR(%),평균SI-SNR(dB),평균ViSQOL,평균PESQ,평균MIoU,평균F1,판정
NoAttack,100,0.0094,0.9812,100.0,24.7,4.724,4.162,0.4999,0.9999,통과
MP3_128kbps,100,0.0081,0.9838,100.0,23.95,4.613,4.099,0.4999,0.9999,통과
MP3_320kbps,100,0.0088,0.9825,100.0,23.95,4.612,4.099,0.4999,0.9999,통과
Resample_44100RT,100,0.0094,0.9812,100.0,24.66,4.721,4.161,0.4999,0.9999,통과
Crop_10pct,100,0.0262,0.9475,60.0,24.75,4.724,4.144,0.2791,0.681,붕괴
TSM_1.1x,100,0.0506,0.8988,25.0,,3.942,1.228,0.1851,0.4974,붕괴
AWGN_30dB,100,0.0169,0.9663,100.0,23.35,4.398,3.06,0.4746,0.9711,통과
Limiter,100,0.0081,0.9838,100.0,23.97,4.72,4.152,0.4999,0.9999,통과
Opus_32kbps,100,0.0119,0.9762,100.0,18.77,4.642,3.892,0.4997,0.9997,통과
AAC_128kbps,100,0.0088,0.9825,100.0,24.31,4.721,4.132,0.4999,0.9999,통과
TelephoneFilter,100,0.01,0.98,100.0,-8.27,3.144,3.273,0.4985,0.9984,통과
EnCodec_6kbps,100,0.3594,0.2812,22.0,6.08,4.396,2.137,0.1954,0.5268,붕괴
DAC,100,0.6506,-0.3013,4.0,-11.44,4.516,3.147,0.0613,0.1831,붕괴
