file,SpectralFlatness,SpectralCentroid_Hz,EffectiveBandwidth99_Hz,SilenceRatio,CrestFactor
0431_민속악_판소리.wav,0.017629,2352.92,6859.38,0.0,5.7465
0435_민속악_판소리.wav,0.013548,2160.16,6140.62,0.0,5.1526
0437_민속악_판소리.wav,0.010203,2229.91,5937.5,0.0,6.1696
0438_민속악_판소리.wav,0.013916,2500.29,6265.62,0.011111,4.8193
0442_민속악_판소리.wav,0.009956,2453.92,5859.38,0.0,4.3334
0451_민속악_판소리.wav,0.009476,2638.16,6250.0,0.0,6.7298
0466_민속악_판소리.wav,0.013332,2694.24,6640.62,0.0,6.07
0467_민속악_판소리.wav,0.01376,2538.06,6375.0,0.0,6.3905
0477_민속악_판소리.wav,0.010102,2512.6,6015.62,0.0,4.6336
0479_민속악_판소리.wav,0.010699,2556.99,5656.25,0.038095,5.6111
0484_민속악_판소리.wav,0.01375,2317.5,6296.88,0.057143,5.3113
0487_민속악_판소리.wav,0.013343,2531.13,6578.12,0.036508,6.3985
0488_민속악_판소리.wav,0.013935,2579.05,6609.38,0.07619,4.6327
0496_민속악_판소리.wav,0.011808,2159.7,5671.88,0.0,5.7663
0497_민속악_판소리.wav,0.007673,1478.59,4750.0,0.0,5.0174
0505_민속악_판소리.wav,0.012273,1842.39,5578.12,0.0,5.1112
0507_민속악_판소리.wav,0.011502,1917.13,5625.0,0.0,5.2102
0514_민속악_판소리.wav,0.008474,1608.79,4640.62,0.0,4.982
0515_민속악_판소리.wav,0.010445,1903.29,5031.25,0.0,4.8766
0519_민속악_판소리.wav,0.012905,1598.82,5640.62,0.096825,5.4835
Similar_Dance_00002_Cover_Arrangement_A.wav,0.013052,1755.5,4359.38,0.0,3.4201
Similar_Dance_00002_Cover_Genre_A.wav,0.013152,1736.22,4671.88,0.0,2.9782
Similar_Dance_00002_Cover_Instrument_A.wav,0.013093,1753.04,3093.75,0.0,7.847
Similar_Dance_00002_Cover_Instrument_C.wav,0.014086,1774.84,3031.25,0.0,7.8556
Similar_Dance_00002_Cover_Rhythm_A.wav,0.004665,1399.95,2828.12,0.0,3.8346
Similar_Dance_00002_Cover_Tempo_A.wav,0.036533,2232.09,5546.88,0.0,10.0265
Similar_Dance_00002_Cover_Tempo_C.wav,0.027742,2132.58,5046.88,0.0,8.2473
Similar_Dance_00002_Cover_Timbre_A.wav,0.01446,1826.37,3703.12,0.0,9.2739
Similar_Dance_00002_Cover_Timbre_C.wav,0.014264,1835.87,3718.75,0.0,9.3921
Similar_Dance_00002_Org.wav,0.00853,1594.36,3468.75,0.0,2.5656
Similar_Dance_00003_Cover_Arrangement_A.wav,0.017224,1624.54,3984.38,0.0,5.236
Similar_Dance_00003_Cover_Genre_A.wav,0.011572,1382.03,3328.12,0.0,3.0003
Similar_Dance_00003_Cover_Instrument_A.wav,0.008441,1481.38,3937.5,0.0,3.8999
Similar_Dance_00003_Cover_Instrument_C.wav,0.007555,972.31,3078.12,0.0,4.785
Similar_Dance_00003_Cover_Rhythm_A.wav,0.003037,1269.64,2500.0,0.0,5.5549
Similar_Dance_00003_Cover_Tempo_A.wav,0.010106,1306.18,3531.25,0.0,6.021
Similar_Dance_00003_Cover_Tempo_C.wav,0.008145,1261.41,2625.0,0.0,6.2021
Similar_Dance_00003_Cover_Timbre_A.wav,0.002562,868.02,2890.62,0.0,5.58
Similar_Dance_00003_Cover_Timbre_C.wav,0.007555,972.31,3078.12,0.0,4.785
Similar_Dance_00003_Org.wav,0.01417,1625.42,3750.0,0.0,3.1822
Similar_Trot_00138_Cover_Arrangement_A.wav,0.009517,1408.78,3953.12,0.0,4.5194
Similar_Trot_00138_Cover_Genre_A.wav,0.02732,1844.63,3968.75,0.0,4.8435
