file,stage,BER,NC,DSR,confidence,SI-SNR(dB),ViSQOL,PESQ,ODG,PLV,PhaseDiff_rad,GroupDelayMAE,SpectralFlatness,SpectralCentroid_Hz,EffectiveBandwidth99_Hz,SilenceRatio,CrestFactor
0431_민속악_판소리.wav,NoAttack,0.0,1.0,1,1.0,48.92,4.731,4.625,,0.9998,0.0302,0.098,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,MP3_128kbps,0.0,1.0,1,1.0,22.7,4.507,4.347,,0.9775,0.2041,0.43,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,MP3_320kbps,0.0,1.0,1,1.0,22.7,4.506,4.347,,0.9776,0.2038,0.4297,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,Resample_44100RT,0.0,1.0,1,1.0,39.59,4.729,4.572,,0.9996,0.0707,0.1641,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,Crop_10pct,0.0,1.0,1,0.9531,48.77,4.731,4.624,,0.9997,0.0314,0.1022,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,TSM_1.1x,1.0,-1.0,0,0.0,,4.056,1.202,,,,,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,AWGN_30dB,1.0,-1.0,0,0.0,29.96,4.637,3.79,,0.9873,0.4828,1.1196,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,Limiter,0.0,1.0,1,1.0,48.92,4.731,4.625,,0.9998,0.0302,0.098,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,Opus_32kbps,1.0,-1.0,0,0.0,16.97,4.643,4.138,,0.9385,0.7061,1.5405,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,AAC_128kbps,0.0,1.0,1,0.9812,33.37,4.73,4.595,,0.9977,0.1443,0.3989,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,TelephoneFilter,0.0,1.0,1,0.75,-5.06,2.574,3.135,,0.3093,1.265,1.5977,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,EnCodec_6kbps,1.0,-1.0,0,0.0,1.64,4.252,1.793,,0.3854,1.4902,2.4506,0.017629,2352.92,6859.38,0.0,5.7465
0431_민속악_판소리.wav,DAC,1.0,-1.0,0,0.0,-12.59,4.315,2.47,,0.1805,1.5744,2.3212,0.017629,2352.92,6859.38,0.0,5.7465
0435_민속악_판소리.wav,NoAttack,0.0,1.0,1,1.0,48.9,4.731,4.621,,0.9997,0.033,0.1078,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,MP3_128kbps,0.0,1.0,1,1.0,27.16,4.638,4.393,,0.9832,0.2067,0.4377,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,MP3_320kbps,0.0,1.0,1,1.0,27.16,4.638,4.393,,0.9832,0.2066,0.4375,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,Resample_44100RT,0.0,1.0,1,1.0,42.93,4.729,4.62,,0.9997,0.0744,0.1819,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,Crop_10pct,0.0,1.0,1,0.9062,48.95,4.731,4.62,,0.9997,0.0344,0.1123,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,TSM_1.1x,1.0,-1.0,0,0.0,,4.228,1.249,,,,,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,AWGN_30dB,1.0,-1.0,0,0.0,29.95,4.57,3.759,,0.9867,0.5176,1.2072,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,Limiter,0.0,1.0,1,1.0,48.9,4.731,4.621,,0.9997,0.033,0.1078,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,Opus_32kbps,1.0,-1.0,0,0.0,18.35,4.652,3.855,,0.9456,0.7079,1.5929,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,AAC_128kbps,0.0,1.0,1,0.9875,33.08,4.73,4.576,,0.9979,0.1464,0.4033,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,TelephoneFilter,0.0,1.0,1,0.7986,-5.33,2.852,3.395,,0.3245,1.268,1.6384,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,EnCodec_6kbps,1.0,-1.0,0,0.0,1.91,4.388,1.794,,0.4403,1.482,2.4804,0.013548,2160.16,6140.62,0.0,5.1526
0435_민속악_판소리.wav,DAC,1.0,-1.0,0,0.0,-14.44,4.457,2.47,,0.2189,1.5773,2.366,0.013548,2160.16,6140.62,0.0,5.1526
0437_민속악_판소리.wav,NoAttack,0.0,1.0,1,1.0,48.82,4.731,4.623,,0.9997,0.0401,0.1307,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,MP3_128kbps,0.0,1.0,1,1.0,27.76,4.602,4.4,,0.9858,0.2146,0.4621,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,MP3_320kbps,0.0,1.0,1,1.0,27.76,4.602,4.399,,0.9858,0.2147,0.462,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,Resample_44100RT,0.0,1.0,1,1.0,43.03,4.73,4.61,,0.9996,0.0811,0.2017,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,Crop_10pct,0.0,1.0,1,0.8438,48.86,4.731,4.624,,0.9996,0.0409,0.1337,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,TSM_1.1x,1.0,-1.0,0,0.0,,4.107,1.338,,,,,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,AWGN_30dB,1.0,-1.0,0,0.0,29.93,4.556,3.694,,0.9841,0.6102,1.3884,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,Limiter,0.0,1.0,1,1.0,48.82,4.731,4.623,,0.9997,0.0401,0.1307,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,Opus_32kbps,0.3333,0.3333,1,0.5139,18.66,4.694,4.045,,0.9503,0.7398,1.6529,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,AAC_128kbps,0.0,1.0,1,0.9875,34.3,4.73,4.5,,0.9978,0.1562,0.4308,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,TelephoneFilter,0.0,1.0,1,0.8264,-6.31,2.783,3.221,,0.2936,1.2745,1.6849,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,EnCodec_6kbps,1.0,-1.0,0,0.0,1.29,4.292,1.749,,0.4172,1.4875,2.5017,0.010203,2229.91,5937.5,0.0,6.1696
0437_민속악_판소리.wav,DAC,0.5,0.0,1,0.4861,-12.65,4.363,2.61,,0.219,1.5716,2.3799,0.010203,2229.91,5937.5,0.0,6.1696
0438_민속악_판소리.wav,NoAttack,0.0,1.0,1,1.0,48.84,4.731,4.622,,0.9997,0.034,0.1099,0.013916,2500.29,6265.62,0.011111,4.8193
0438_민속악_판소리.wav,MP3_128kbps,0.0,1.0,1,1.0,27.49,4.635,4.406,,0.983,0.2054,0.437,0.013916,2500.29,6265.62,0.011111,4.8193
0438_민속악_판소리.wav,MP3_320kbps,0.0,1.0,1,1.0,27.49,4.635,4.406,,0.983,0.2054,0.4375,0.013916,2500.29,6265.62,0.011111,4.8193
0438_민속악_판소리.wav,Resample_44100RT,0.0,1.0,1,1.0,41.14,4.729,4.607,,0.9996,0.0753,0.1838,0.013916,2500.29,6265.62,0.011111,4.8193
0438_민속악_판소리.wav,Crop_10pct,0.0,1.0,1,0.7344,48.73,4.731,4.621,,0.9997,0.0355,0.115,0.013916,2500.29,6265.62,0.011111,4.8193
0438_민속악_판소리.wav,TSM_1.1x,0.4167,0.1667,1,0.4306,,4.195,1.411,,,,,0.013916,2500.29,6265.62,0.011111,4.8193
