stage,파일수,평균BER,평균NC,DSR(%),평균SI-SNR(dB),평균ViSQOL,평균PESQ,평균PLV,평균GroupDelayMAE,판정
NoAttack,100,0.2125,0.575,81.0,49.44,4.73,4.559,0.9996,0.2935,붕괴
MP3_128kbps,100,0.2133,0.5733,81.0,38.19,4.618,4.297,0.9926,0.6849,붕괴
MP3_320kbps,100,0.2133,0.5733,81.0,38.2,4.617,4.297,0.9926,0.6851,붕괴
Resample_44100RT,100,0.2121,0.5758,81.0,46.62,4.727,4.554,0.9995,0.3838,붕괴
Crop_10pct,100,0.3708,0.2583,66.0,49.28,4.73,4.557,0.9996,0.2745,붕괴
TSM_1.1x,100,0.9021,-0.8042,17.0,,3.941,1.209,,,붕괴
AWGN_30dB,100,0.7471,-0.4942,34.0,29.94,4.402,2.941,0.9853,1.4876,붕괴
Limiter,100,0.2125,0.575,81.0,45.23,4.726,4.553,0.9995,0.3006,붕괴
Opus_32kbps,100,0.7117,-0.4233,36.0,20.86,4.645,4.044,0.9648,1.4616,붕괴
AAC_128kbps,100,0.2233,0.5533,80.0,37.89,4.727,4.337,0.9983,0.6784,붕괴
TelephoneFilter,100,0.5288,-0.0575,52.0,-8.11,3.156,3.437,0.3832,1.5673,붕괴
EnCodec_6kbps,100,0.8938,-0.7875,18.0,6.12,4.394,2.09,0.5617,2.3522,붕괴
DAC,100,0.8392,-0.6783,28.0,-11.22,4.52,3.199,0.321,2.2238,붕괴
