file,SpectralFlatness,SpectralCentroid_Hz,EffectiveBandwidth99_Hz,SilenceRatio,CrestFactor
0431_민속악_판소리.wav,0.0016,3058.53,7364.36,0.0,5.6775
0435_민속악_판소리.wav,0.001717,3036.01,7967.29,0.0,5.0562
0437_민속악_판소리.wav,0.001384,3078.74,6761.43,0.004611,6.0655
0438_민속악_판소리.wav,0.001628,3348.36,7149.02,0.020749,4.645
0442_민속악_판소리.wav,0.001319,3318.2,6847.56,0.0,4.222
0451_민속악_판소리.wav,0.002236,3661.87,8268.75,0.002305,6.5708
0466_민속악_판소리.wav,0.00165,3503.88,8010.35,0.001153,5.9593
0467_민속악_판소리.wav,0.001892,3453.67,9517.68,0.0,6.3138
0477_민속악_판소리.wav,0.001856,3413.24,6933.69,0.0,4.7235
0479_민속악_판소리.wav,0.001607,3480.11,7450.49,0.045533,5.4076
0484_민속악_판소리.wav,0.001689,3034.64,7062.89,0.069741,5.308
0487_민속악_판소리.wav,0.001491,3273.71,7622.75,0.04438,6.3788
0488_민속악_판소리.wav,0.002188,3590.32,8397.95,0.088761,4.3787
0496_민속악_판소리.wav,0.001354,2761.74,5857.03,0.0,5.7066
0497_민속악_판소리.wav,0.00055,1859.57,5211.04,0.002882,4.9545
0505_민속악_판소리.wav,0.000976,2284.4,5598.63,0.0,5.0786
0507_민속악_판소리.wav,0.000824,2405.38,5770.9,0.0,5.1774
0514_민속악_판소리.wav,0.000524,1936.53,4694.24,0.0,4.9026
0515_민속악_판소리.wav,0.00085,2369.37,5512.5,0.0,4.857
0519_민속악_판소리.wav,0.001213,2044.14,5641.7,0.113545,5.4597
Similar_Dance_00002_Cover_Arrangement_A.wav,0.002664,2943.99,5512.5,0.0,3.4574
Similar_Dance_00002_Cover_Genre_A.wav,0.002699,2969.49,5770.9,0.0,3.08
Similar_Dance_00002_Cover_Instrument_A.wav,0.002472,2565.35,3359.18,0.0,7.7911
Similar_Dance_00002_Cover_Instrument_C.wav,0.002676,2601.02,3359.18,0.0,7.8174
Similar_Dance_00002_Cover_Rhythm_A.wav,0.001062,2411.21,3014.65,0.0,3.9134
Similar_Dance_00002_Cover_Tempo_A.wav,0.00677,3267.76,6847.56,0.0,9.9875
Similar_Dance_00002_Cover_Tempo_C.wav,0.005124,3032.46,6072.36,0.0,8.6989
Similar_Dance_00002_Cover_Timbre_A.wav,0.002745,2693.09,4177.44,0.0,9.21
Similar_Dance_00002_Cover_Timbre_C.wav,0.002584,2671.42,4177.44,0.0,9.3181
Similar_Dance_00002_Org.wav,0.0023,2850.75,8613.28,0.0,2.2712
Similar_Dance_00003_Cover_Arrangement_A.wav,0.003077,2438.82,4478.91,0.0,5.1918
Similar_Dance_00003_Cover_Genre_A.wav,0.001945,2054.41,3359.18,0.0,3.0002
Similar_Dance_00003_Cover_Instrument_A.wav,0.001322,2140.62,3962.11,0.0,3.9388
Similar_Dance_00003_Cover_Instrument_C.wav,0.00112,1309.64,3186.91,0.001157,4.9179
Similar_Dance_00003_Cover_Rhythm_A.wav,0.000334,1541.84,2497.85,0.0,5.5411
Similar_Dance_00003_Cover_Tempo_A.wav,0.001292,1795.63,3531.45,0.0,6.0507
Similar_Dance_00003_Cover_Tempo_C.wav,0.001104,1680.82,2627.05,0.0,6.074
Similar_Dance_00003_Cover_Timbre_A.wav,0.000307,1099.04,2928.52,0.0,5.5843
Similar_Dance_00003_Cover_Timbre_C.wav,0.00112,1309.64,3186.91,0.001157,4.9179
Similar_Dance_00003_Org.wav,0.004595,2717.89,4521.97,0.0,3.2307
Similar_Trot_00138_Cover_Arrangement_A.wav,0.001421,2045.41,3962.11,0.0,4.6614
Similar_Trot_00138_Cover_Genre_A.wav,0.004257,2695.34,4306.64,0.0,4.8955
Similar_Trot_00138_Cover_Instrument_A.wav,0.001413,1918.79,3660.64,0.0,6.5998
Similar_Trot_00138_Cover_Instrument_C.wav,0.001248,1807.08,3316.11,0.0,6.0965
Similar_Trot_00138_Cover_Rhythm_A.wav,0.001558,2488.42,4392.77,0.0,4.0851
Similar_Trot_00138_Cover_Tempo_B.wav,0.001271,1846.1,3402.25,0.0,6.168
Similar_Trot_00138_Cover_Tempo_D.wav,0.001584,2002.09,3875.98,0.0,6.123
Similar_Trot_00138_Cover_Timbre_A.wav,0.00103,1746.56,2971.58,0.0,5.113
