file,stage,BER,NC,DSR,confidence,SI-SNR(dB),ViSQOL,PESQ,ODG,PLV,PhaseDiff_rad,GroupDelayMAE,SpectralFlatness,SpectralCentroid_Hz,EffectiveBandwidth99_Hz,SilenceRatio,CrestFactor
0431_민속악_판소리.wav,NoAttack,0.0,1.0,1,0.9429,48.6,4.725,4.616,,0.9997,0.0466,0.1397,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,MP3_128kbps,0.0,1.0,1,0.8619,32.91,4.696,4.61,,0.9894,0.5992,1.2428,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,MP3_320kbps,0.0,1.0,1,0.9429,46.92,4.721,4.616,,0.9988,0.232,0.5144,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,Resample_44100-16000RT,0.025,0.95,1,0.7952,21.26,2.25,4.563,,0.8942,1.0339,1.6848,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,Crop_10pct,0.225,0.55,1,0.5344,48.52,4.723,4.615,,0.9997,0.047,0.142,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,TSM_1.1x,0.55,-0.1,1,0.4127,,4.271,1.438,,,,,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,AWGN_30dB,0.0,1.0,1,0.6905,29.93,4.065,4.133,,0.9812,0.8156,1.6739,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,Limiter,0.0,1.0,1,0.9429,48.6,4.725,4.616,,0.9997,0.0466,0.1397,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,Opus_64kbps,0.175,0.65,1,0.5857,19.97,4.683,4.282,,0.9538,0.8316,1.7141,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,Opus_32kbps,1.0,-1.0,0,0.0,13.93,4.409,3.695,,0.8634,1.1916,2.1745,0.0016,3058.53,7364.36,0.0,5.6775
0431_민속악_판소리.wav,AAC_128kbps,0.0,1.0,1,0.8476,31.35,4.702,4.592,,0.9894,0.5016,1.1295,0.0016,3058.53,7364.36,0.0,5.6775
