stage,파일수,평균BER,평균NC,DSR(%),평균SI-SNR(dB),평균ViSQOL,평균PESQ,평균PLV,평균GroupDelayMAE,판정
NoAttack,100,0.2123,0.5755,80.0,49.33,4.707,4.557,0.9995,0.6507,붕괴
MP3_128kbps,100,0.2152,0.5695,80.0,38.89,4.667,4.462,0.9931,1.4971,붕괴
MP3_320kbps,100,0.2142,0.5715,80.0,47.56,4.689,4.508,0.9984,1.0659,붕괴
Resample_44100-16000RT,100,0.2225,0.555,79.0,35.86,2.726,4.552,0.946,1.6347,붕괴
Crop_10pct,100,0.4423,0.1155,61.0,49.31,4.707,4.559,0.9995,0.6226,붕괴
TSM_1.1x,100,0.8793,-0.7585,23.0,,4.216,1.409,,,붕괴
AWGN_30dB,100,0.4375,0.125,60.0,29.94,3.257,3.359,0.9834,1.9786,붕괴
Limiter,100,0.2123,0.5755,80.0,45.2,4.706,4.551,0.9994,0.6558,붕괴
Opus_64kbps,100,0.373,0.254,66.0,23.08,4.639,4.264,0.9718,1.7761,붕괴
Opus_32kbps,100,0.7137,-0.4275,38.0,17.55,4.448,3.801,0.919,2.1326,붕괴
AAC_128kbps,100,0.2387,0.5225,78.0,37.08,4.666,4.378,0.9934,1.4301,붕괴
TelephoneFilter,100,0.821,-0.642,32.0,-8.0,2.194,3.458,0.36,2.1611,붕괴
EnCodec_6kbps,100,0.8453,-0.6905,34.0,6.04,3.056,2.108,0.5468,2.4603,붕괴
DAC,100,0.817,-0.634,38.0,-11.28,2.602,3.211,0.3149,2.36,붕괴
