file,SpectralFlatness,SpectralCentroid_Hz,EffectiveBandwidth99_Hz,SilenceRatio,CrestFactor
0422_민속악_판소리.wav,0.022136,2319.14,5984.38,0.280639,6.0574
0423_민속악_판소리.wav,0.145116,1998.12,5906.25,0.342806,7.053
0424_민속악_판소리.wav,0.020692,2398.11,6125.0,0.287744,4.2854
Similar_Dance_00073_Cover_Arrangement_A.wav,0.034126,2455.82,5453.12,0.0,8.5501
Similar_Dance_00081_Cover_Arrangement_A.wav,0.005005,1044.76,2062.5,0.05151,5.6682
Similar_Dance_00085_Cover_Arrangement_A.wav,0.00349,1229.52,1984.38,0.0,9.0392
Similar_Dance_00087_Cover_Arrangement_A.wav,0.004577,1575.31,3125.0,0.0,8.0763
Similar_Trot_00162_Cover_Arrangement_A.wav,0.00967,1254.94,2343.75,0.0,5.0064
Similar_Trot_00266_Cover_Arrangement_A.wav,0.009928,1384.59,3531.25,0.044405,5.4195
Similar_Trot_00568_Cover_Arrangement_B.wav,0.030816,1954.51,4875.0,0.0,6.8377
Similar_Trot_00571_Cover_Arrangement_B.wav,0.011592,1703.83,3359.38,0.161634,10.0497
일반남여_일반통합06_F_1536505292_35_경상_실내_09408.wav,0.12795,1397.15,4703.12,0.28436,7.2241
일반남여_일반통합06_F_1536505292_35_경상_실내_09410.wav,0.089064,948.0,3671.88,0.301786,7.6257
일반남여_일반통합06_F_1536505292_35_경상_실내_09412.wav,0.145183,1170.39,2171.88,0.206612,6.9578
통화_0029.wav,0.000164,981.04,1765.62,0.0,6.5096
통화_0030.wav,0.000846,932.38,1609.38,0.020408,5.5444
통화_0031.wav,0.000255,937.88,2015.62,0.0,6.7723
