file,stage,axis,BER,NC,BitAccuracy,DSR,hit_ratio,SI-SNR(dB),ViSQOL,PESQ,ODG,IoU,MIoU,F1,MUSHRA,SpectralFlatness,SpectralCentroid_Hz,EffectiveBandwidth99_Hz,SilenceRatio,CrestFactor
0431_민속악_판소리.wav,NoAttack,step2,0.0,1.0,,1,0.225,37.09,4.718,4.516,,0.904,0.527,0.9496,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,AWGN_30dB,axis1,0.0,1.0,,1,0.1562,29.22,4.668,3.924,,0.7943,0.4581,0.8854,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,Resample_44100RT,axis1,0.0,1.0,,1,0.225,35.39,4.718,4.476,,0.904,0.527,0.9496,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,Limiter,axis1,0.0,1.0,,1,0.225,37.09,4.718,4.516,,0.904,0.527,0.9496,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,MP3_128kbps,axis2,0.0,1.0,,1,0.2375,22.69,4.49,4.243,,0.904,0.527,0.9496,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,MP3_320kbps,axis2,0.0,1.0,,1,0.2375,22.69,4.49,4.243,,0.904,0.527,0.9496,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,AAC_128kbps,axis2,0.0,1.0,,1,0.2375,31.63,4.717,4.505,,0.904,0.527,0.9496,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,TelephoneFilter,axis2,0.0,1.0,,1,0.1313,-4.92,2.53,3.087,,0.9023,0.5816,0.9486,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,Opus_32kbps,axis2,1.0,-1.0,,0,0.0,16.77,4.651,4.119,,0.0,0.0556,0.0,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,Crop_10pct,axis2,0.0,1.0,,1,0.2254,37.1,4.716,4.507,,0.9231,0.6282,0.96,,0.018196,2418.64,6796.88,0.0,5.8391
0431_민속악_판소리.wav,TSM_1.1x,axis2,0.0,1.0,,1,0.028,,4.092,1.251,,0.2573,0.1867,0.4093,,0.018196,2418.64,6796.88,0.0,5.8391
