stage,axis,파일수,평균BER,평균BitAccuracy,평균NC,DSR(%),평균SI-SNR(dB),평균ViSQOL,평균PESQ,평균MIoU,평균F1,판정
NoAttack,step2,80,0.0,,1.0,100.0,37.2,4.671,4.28,0.5737,0.9479,통과
AWGN_30dB,axis1,80,0.1414,,0.7172,87.5,29.23,4.403,3.281,0.4105,0.7066,붕괴
Resample_44100RT,axis1,80,0.0,,1.0,100.0,36.74,4.672,4.281,0.5737,0.9479,통과
Limiter,axis1,80,0.0,,1.0,100.0,34.64,4.667,4.277,0.5736,0.9479,통과
MP3_128kbps,axis2,80,0.0,,1.0,100.0,32.41,4.582,4.173,0.5754,0.9481,통과
MP3_320kbps,axis2,80,0.0,,1.0,100.0,32.4,4.582,4.174,0.5754,0.9481,통과
AAC_128kbps,axis2,80,0.0,,1.0,100.0,33.47,4.67,4.226,0.5745,0.9475,통과
TelephoneFilter,axis2,80,0.0148,,0.9703,98.8,-8.61,3.128,3.28,0.5511,0.8941,통과
Opus_32kbps,axis2,80,0.0266,,0.9469,98.8,20.12,4.619,3.945,0.4416,0.732,통과
Crop_10pct,axis2,80,0.0125,,0.975,98.8,37.23,4.673,4.26,0.565,0.9213,통과
TSM_1.1x,axis2,80,0.0617,,0.8766,97.5,,3.906,1.199,0.3851,0.675,통과
EnCodec_6kbps,axis3,80,1.0,0.0,-1.0,0.0,6.15,4.396,2.17,0.0733,0.0,붕괴
DAC,axis3,80,1.0,0.0,-1.0,0.0,-10.66,4.486,3.115,0.0732,0.0,붕괴
